,app,review,rating,tokenized_review,replaced_review
2619,7분 운동,너무 좋은데 개이득,5,이득,이득
2620,7분 운동,짧은시간동안 운동하는 느낌이 좋아요,5,운동,운동
2621,7분 운동,좋음,5,,
2622,7분 운동,부담되지않고 간단히 운동하기 좋아요,5,부담 운동,부담 운동
2623,7분 운동,굿,5,,
2624,7분 운동,초등학생이해도되나요?,5,초등학생,초등학생
2625,7분 운동,매우좋아요! 근데 7분운동인데 1세트한후에 2번째세트할때 한참 후에 하나요 아니면 바로 2번째세트 이어하나요?,4,운동 세트 세트 세트,운동 세트 세트 세트
2626,7분 운동,굿,5,,
2627,7분 운동,최고,5,최고,최고
2628,7분 운동,따라할수있고 특히 카운터가된다는점이 좋네요,5,카운터,카운터
2629,7분 운동,최고,5,최고,최고
2630,7분 운동,굿굿 내가바라던 어플이야ㅎ,4,,
2631,7분 운동,좋네요,5,,
2632,7분 운동,여태까지 써봤던 운동 앱 중에서 완전 단연 최고,5,운동 최고,운동 최고
2633,7분 운동,ㅇㅇ,5,,
2634,7분 운동,좋음,4,,
2635,7분 운동,기초체력을 키우는데 도움이 될거같아요,4,기초 체력 도움,기초 체력 도움
2636,7분 운동,운동합시다!,5,운동,운동
2637,7분 운동,사용하기 편하고 좋네요,5,,
2638,7분 운동,초보자도 따라하기 쉽도록 동영상으로 설명되어있고 7분단위로 순환운동 할 수 있어 좋네요,5,초보 동영상 설명 단위 순환 운동,초보 동영상 설명 단위 순환 운동
2639,7분 운동,나쁘지않아요~~,5,,
2640,7분 운동,그런데 할만함,4,,
2641,7분 운동,좋다,4,,
2642,7분 운동,광고가너므뜸,4,광고,광고
2643,7분 운동,좋아요,5,,
2644,7분 운동,좋습니다. 소리로 안내해 주는 기능이 있으면 더욱 좋겠습니다,4,소리 안내,소리 안내
2645,7분 운동,좋아요,5,,
2646,7분 운동,쉽게 따라 할 수 있어서 좋아요,4,,
2647,7분 운동,동작 잘하고 숨이 많이 차네요. 효과 기대됨,5,동작 기대,동작 기대
2648,7분 운동,돟아요료료료료료ㅛ료,5,,
2649,7분 운동,따로따로 운동볼수있으면 더 좋겠지만 충분하다!,5,운동,운동
2650,7분 운동,국굿놈종하너텨모요,5,종하 모요,종하 모요
2651,7분 운동,아주좋습니다,5,,
2652,7분 운동,운동하기 편해요,4,운동,운동
2653,7분 운동,그냥 해보면 좋은 앱이란 걸 알 수 있어요!,5,,
2654,7분 운동,하라는 데로 빠라 하세요,5,,
2655,7분 운동,bb,5,,
2656,7분 운동,아주 좋아 요,5,,
2657,7분 운동,집에서 운동하기 좋습니댜~,5,운동,운동
2658,7분 운동,알람해놓고 달력체크해가면서 꾸준히 하기좋네요,5,알람 달력 체크,알람 달력 체크
2659,7분 운동,열심히해서 살뺄겁니다.,5,겁니다,겁니다
2660,7분 운동,"무료이구 따라하기쉬운 설명과 동영상, 타이머까지 마음에 듭니다 한가지 아쉬운점은 저같은 초보가 사용하려면  호흡법도 설명이 있으면 좋을듯합니다",4,무료 설명 동영상 타이머 마음 초보 호흡 설명,무료 설명 동영상 타이머 마음 초보 호흡 설명
2661,7분 운동,오랫동안 운동 못했는데 이거 하고 땡기는 느낌 오랜만에 느껴봅니다,5,오랫동안 운동,오랫동안 운동
2662,7분 운동,허리 근력 강화도 함께 있으면 더 좋겠네요,5,허리 근력 강화,허리 근력 강화
2663,7분 운동,안하던 운동을 이걸로 조금이나마 할 수 있겠네요,4,운동,운동
